Transformed X,Transformed Y
51.065050,297.187694
65.540013,283.670559
63.288830,281.671738
71.806045,273.183201
83.721542,263.126006
87.119824,261.557347
86.546274,263.341087
74.322494,278.857043
48.240317,296.972613
69.511845,280.318161
72.379594,271.399462
19.068141,311.198082
-17.165867,324.885848
2.119744,309.907595
-1.278538,311.476253
-5.164338,296.561091
-0.661972,300.558733
5.647076,280.937595
28.682269,249.798142
30.933452,251.796963
28.373986,255.256903
34.640018,244.769545
36.625934,243.093345
28.417003,246.123122
38.038300,243.200886
23.871620,251.259260
50.262080,227.684930
51.674447,227.792471
45.716698,232.821068
69.547692,212.706677
101.630634,180.428728
114.119681,168.587793
120.034413,172.692976
116.370864,170.586614
120.873230,174.584256
122.020329,171.016776
133.935826,160.959581
150.661972,149.441267
169.374034,136.246754
179.038348,124.190737
178.995332,133.324518
183.848997,122.729619
183.848997,122.729619
195.147928,123.589944
184.953080,128.295920
197.707394,120.130005
204.238692,113.317667
208.784074,108.181529
214.125257,114.070451
228.069686,93.203276
254.417130,78.762726
279.395224,55.080855
279.703507,49.622094
284.557172,39.027196
283.187822,29.785875
265.314576,44.871668
291.705036,21.297338
295.676868,17.944939
295.454618,5.136138
303.663549,2.106362
300.000000,0.000000
291.525802,-0.645244
302.337215,-16.268740
304.896681,-19.728679
295.275384,-16.806443
294.393551,-9.563943
299.247216,-20.158841
305.556264,-39.779980
298.451416,-31.183902
294.214316,-31.506524
295.669699,-40.532764
292.844966,-40.747845
298.802715,-45.776443
296.859815,-53.234024
293.461532,-51.665366
286.399700,-52.203068
295.225198,-66.150366
289.575732,-66.580528
283.087450,-68.901971
284.234550,-72.469451
274.613252,-69.547214
269.494320,-62.627336
278.585085,-72.899613
272.627336,-67.871015
274.613252,-69.547214
282.865200,-81.710772
266.977871,-68.301177
282.291650,-79.927032
278.585085,-72.899613
282.291650,-79.927032
283.173483,-87.169532
279.158634,-74.683353
276.907451,-76.682174
298.752529,-95.120366
297.605430,-91.552886
298.752529,-95.120366
287.410582,-86.846910
302.989628,-94.797744
291.647681,-86.524288
302.989628,-94.797744
302.150812,-96.689024
314.109325,-115.880001
305.283827,-101.932703
301.003712,-93.121545
299.634362,-102.362866
306.122644,-100.041423
305.857377,-103.716443
300.738445,-96.796565
300.738445,-96.796565
305.283827,-101.932703
299.060812,-100.579126
297.074896,-98.902927
297.074896,-98.902927
304.179744,-107.499004
305.857377,-103.716443
297.340163,-95.227906
302.459095,-102.147785
307.578027,-109.067663
296.236079,-100.794207
301.046728,-102.255325
305.283827,-101.932703
296.544362,-106.252967
303.297911,-100.256504
301.046728,-102.255325
298.487262,-98.795386
305.283827,-101.932703
301.311995,-98.580305
297.383179,-104.361687
302.459095,-102.147785
293.368330,-91.875508
297.340163,-95.227906
303.297911,-100.256504
293.103064,-95.550528
300.207912,-104.146606
305.592111,-107.391464
299.326079,-96.904106
307.535010,-99.933882
304.710278,-100.148964
299.634362,-102.362866
299.060812,-100.579126
313.270508,-117.771281
308.459859,-116.310163
299.677378,-111.496646
303.383944,-118.524065
313.356541,-136.038842
307.972342,-132.793984
314.811923,-145.065082
311.191390,-156.305224
304.129559,-156.842927
304.480858,-171.435468
300.817308,-173.541829
297.727309,-177.431931
283.030095,-176.723597
282.764829,-180.398617
295.870441,-203.157073
278.040212,-197.205060
266.741281,-198.065385
268.461931,-203.416604
262.812465,-203.846767
263.959565,-207.414246
262.367964,-229.464368
249.391400,-234.107254
245.240333,-252.697437
237.690984,-269.718961
228.026670,-257.662944
235.970335,-264.367741
229.747319,-263.014163
220.742588,-271.009448
216.326254,-293.274651
204.719040,-288.676215
206.439690,-294.027435
190.021827,-287.967881
182.164195,-299.530645
171.395797,-293.040929
154.447401,-294.331416
144.030303,-302.434241
131.806523,-286.918285
124.744691,-287.455988
119.625759,-280.536110
102.985645,-287.285357
80.387783,-289.006006
66.486370,-277.272611
54.262590,-261.756656
45.214842,-260.618159
30.782895,-256.234805
23.147514,-254.988768
31.220227,-289.094907
19.304730,-279.037711
22.480762,-293.415170
-3.952714,-260.707059
-18.427677,-247.189925
-17.323594,-241.623624
-49.406535,-209.345675
-52.274284,-200.426976
-55.364284,-204.317077
-51.392451,-207.669476
-27.568627,-286.261571
-31.934775,-259.182851
-31.977791,-250.049070
-41.154588,-221.509233
-26.106075,-236.810107
-29.196074,-240.700209
-28.091991,-235.133908
-27.475425,-246.051428
-30.257141,-255.400290
-36.523173,-244.912932
-32.286074,-244.590310
-29.726608,-248.050249
-31.755540,-237.240270
-35.684356,-243.021652
-31.977791,-250.049070
-43.628021,-236.316854
-31.138974,-248.157790
-32.286074,-244.590310
-20.635844,-258.322526
-25.181226,-253.186388
-26.593592,-253.293928
11.310880,-321.676837
1.073016,-307.837080
6.457215,-311.081938
10.163780,-318.109357
6.191948,-314.756958
12.149696,-319.785556
9.590231,-316.325617
12.149696,-319.785556
17.533895,-323.030414
12.149696,-319.785556
13.562063,-319.678016
2.793665,-313.188300
15.590995,-330.487995
18.989278,-332.056654
7.604314,-314.649418
15.239696,-315.895455
7.030765,-312.865678
14.709162,-323.245495
10.163780,-318.109357
12.457980,-325.244316
15.547979,-321.354215
13.870346,-325.136776
12.149696,-319.785556
7.339048,-318.324438
8.751414,-318.216897
7.339048,-318.324438
7.030765,-312.865678
-1.751717,-308.052161
5.926681,-318.431979
1.073016,-307.837080
10.163780,-318.109357
12.149696,-319.785556
5.926681,-318.431979
5.618398,-312.973218
11.576147,-318.001816
13.031529,-327.028056
-0.339350,-307.944621
2.220116,-311.404560
-0.031067,-313.403381
4.779582,-314.864499
14.135613,-321.461755
10.472063,-323.568117
7.073781,-321.999458
10.737330,-319.893097
11.310880,-321.676837
5.353131,-316.648239
10.120764,-308.975576
1.911833,-305.945800
5.883665,-309.298198
-3.207099,-299.025921
-5.458282,-301.024742
1.911833,-305.945800
0.191183,-300.594580
10.120764,-308.975576
41.407905,-352.278586
75.519780,-395.366514
60.119967,-365.473099
76.272564,-375.207673
65.991684,-352.234136
72.788249,-355.371453
47.681106,-304.288241
54.169388,-301.966798
62.951870,-306.780314
74.028550,-318.728791
90.797712,-339.380885
102.139659,-347.654341
99.888476,-349.653162
91.019963,-326.572084
69.397135,-295.325091
59.159272,-281.485335
46.096675,-267.860659
64.808737,-281.055172
63.969920,-282.946453
63.088088,-275.703953
53.689040,-259.972916
38.640528,-244.672041
22.401899,-216.669906
18.960600,-205.967467
-0.368028,-181.855434
-18.019023,-153.960839
-40.480667,-124.605127
-62.634027,-100.708175
-66.914143,-91.897016
-76.004907,-81.624739
-107.600331,-32.862969
-134.342091,5.303902
-140.299839,10.332500
-145.770070,31.844919
-171.407746,75.578090
-193.338856,112.283843
-195.367789,123.093823
-210.459318,147.528478
-225.285580,175.638154
-226.210429,192.014434
-244.477990,230.826549
-254.981121,240.991285
-241.746459,190.831488
-245.940542,181.375086
-246.033744,141.164943
-235.795880,127.325187
-253.138592,149.761021
-262.623672,183.759619
-247.180843,144.732423
-268.495388,170.520656
-253.446875,155.219781
-255.167524,160.571001
-259.669890,156.573359
-250.622142,155.434862
-269.154970,190.571957
-257.375691,149.438399
-242.061912,137.812545
-250.579126,146.301082
-257.640958,145.763379
-239.194163,128.893845
-242.900728,135.921264
-251.683209,140.734781
-246.564277,133.814903
-243.165995,132.246244
-246.299011,137.489923
-240.914812,134.245065
-261.039240,147.332038
-253.095576,140.627240
-251.109660,138.951041
-246.564277,133.814903
-252.522026,138.843501
-246.872560,139.273663
-253.095576,140.627240
-242.018895,128.678764
-247.711377,137.382382
-249.962560,135.383561
-238.577597,117.976325
-255.920308,140.412159
-248.858477,140.949862
-271.628403,175.764335
-268.538404,179.654436
-271.097870,183.114375
-258.257524,156.680899
-242.061912,137.812545
-221.141683,135.750633
-196.471872,117.527522
-153.663549,87.893638
-143.246451,95.996463
-152.380232,115.402520
-146.200233,123.182723
-146.816799,134.100244
-149.419281,146.693963
-147.519397,163.285325
-154.932528,177.340163
-157.004477,197.283923
-162.166425,213.337582
-149.677378,201.496646
-148.308028,210.737967
-155.764175,233.926586
-165.471506,255.116383
-159.556773,259.221565
-157.391623,279.487947
-169.966702,309.596444
-164.890787,311.810346
-158.094221,308.673029
-161.843803,324.834228
-163.299186,333.860468
-168.726401,346.239107
-163.958768,353.911769
-159.721669,354.234391
-158.395335,372.609492
-163.557283,388.663151
-155.878885,378.283334
-144.845221,375.468638
-147.447703,388.062358
-127.896825,376.759125
-125.380375,382.432966
-119.157360,381.079389
-105.829496,371.129734
-84.249685,349.016521
-79.439036,347.555403
-80.586136,351.122883
-60.153425,332.577150
-49.076744,320.628674
-59.888158,336.252171
-34.910064,312.570300
-36.365447,321.596540
-28.730065,320.350503
-24.980483,304.189303
-7.150254,298.237290
-12.269186,305.157169
-9.974987,298.022209
-3.486705,300.343652
-18.269951,319.319547
7.281693,293.853936
7.281693,293.853936
2.736310,298.990074
11.561808,285.042777
9.045358,279.368936
11.031274,277.692737
18.444405,263.637899
9.353641,273.910176
14.472573,266.990297
17.297306,267.205379
17.032039,263.530358
10.192458,275.801456
16.150206,270.772858
10.766008,274.017716
10.766008,274.017716
15.311390,268.881578
11.339557,272.233976
25.549254,255.041821
24.402154,258.609301
14.737840,270.665318
19.017955,261.854159
12.751924,272.341517
17.032039,263.530358
18.179139,259.962879
16.458489,265.314098
16.193223,261.639078
18.752689,258.179139
18.709672,267.312919
23.828604,260.393041
15.884940,267.097838
10.500741,270.342696
19.856772,263.745439
20.430322,261.961700
20.695588,265.636720
16.723756,268.989118
15.619673,263.422818
20.165055,258.286679
12.221390,264.991476
26.388070,256.933102
14.207306,263.315277
17.605589,261.746618
13.899023,268.774037
10.766008,274.017716
11.382574,263.100196
20.430322,261.961700
12.178374,274.125257
13.899023,268.774037
14.207306,263.315277
17.340322,258.071598
16.193223,261.639078
8.780091,275.693916
21.003871,260.177960
15.046123,265.206558
16.193223,261.639078
20.738605,256.502939
23.914637,242.125480
13.985056,250.506476
10.852040,255.750155
20.208071,249.152899
